#consumed-cpu number-of-readers number-of-writers direct-reads direct-reads-mean-error direct-writes direct-writes-mean-error direct-volatile-reads direct-volatile-reads-mean-error direct-volatile-writes direct-volatile-writes-mean-error synchronized-reads synchronized-reads-mean-error synchronized-writes synchronized-writes-mean-error reentrant-read-write-lock-reads reentrant-read-write-lock-reads-mean-error reentrant-read-write-lock-writes reentrant-read-write-lock-writes-mean-error atomic-reads atomic-reads-mean-error atomic-writes atomic-writes-mean-error adder-reads adder-reads-mean-error adder-writes adder-writes-mean-error stamped-reads stamped-reads-mean-error stamped-writes stamped-writes-mean-error
60 1 5 1777,404 88,411 5295,590 119,140 2196,082 135,265 4560,724 123,852 1729,491 184,730 103,280 33,836 12,449 0,511 575,654 9,280 1954,190 165,898 7003,761 212,182 2270,260 61,796 9743,337 195,817 155,875 10,164 209,116 11,360 
60 1 6 1642,966 87,873 6129,776 680,171 2074,225 90,891 4974,966 163,860 1682,193 248,457 116,376 46,702 10,474 0,281 583,712 6,598 1658,222 156,276 7160,288 250,187 2118,895 70,697 11753,526 322,710 142,574 9,475 193,479 8,976 
60 1 7 1407,173 50,409 5631,617 98,374 1889,458 82,309 5087,991 151,095 1642,697 193,450 126,361 46,924 8,887 0,188 596,107 3,693 1450,762 130,435 7446,865 326,183 1951,132 47,934 13684,809 316,292 130,305 5,783 184,486 10,368 
60 1 8 1286,742 63,575 5634,844 113,707 1590,574 136,158 5083,154 205,661 1409,990 205,386 193,759 76,165 8,160 0,148 593,472 6,219 1157,442 59,976 7337,943 205,363 1791,568 42,941 15594,682 393,751 113,977 4,013 163,617 6,647 
60 1 9 1154,500 29,750 5602,634 106,542 1467,257 130,060 4910,202 125,383 1490,682 173,649 159,739 38,405 7,285 0,168 616,874 5,014 951,676 23,506 7171,230 178,998 1701,258 43,723 17214,926 416,234 99,834 4,058 151,603 5,851 
60 1 10 1024,241 57,345 6162,075 531,338 1387,539 122,414 5013,211 130,914 1571,838 165,880 136,181 36,358 6,425 0,135 606,766 7,167 880,792 30,219 7400,572 152,171 1659,622 43,664 19235,813 462,922 98,550 5,712 144,576 5,548 
60 1 11 988,009 33,609 5774,538 135,306 1224,709 125,648 5109,499 174,727 1317,778 241,074 250,085 122,262 5,905 0,121 614,565 3,653 822,830 23,589 7724,429 184,646 1614,080 39,147 20993,311 517,382 85,629 3,375 137,093 4,516 
60 2 2 5720,590 227,856 3845,242 244,573 6166,308 298,547 2651,317 80,753 1714,198 230,611 19,439 11,255 242,695 10,775 361,833 9,091 5416,338 260,095 3554,399 96,166 6157,024 239,141 3557,650 95,616 1327,399 180,498 327,870 25,389 
60 3 3 7028,625 225,511 4857,016 370,139 7661,077 273,986 3271,582 121,762 1171,973 32,267 16,119 7,503 397,920 11,994 351,020 6,303 6792,128 530,110 4701,349 211,595 7082,430 228,077 5316,568 109,819 861,781 66,376 191,314 9,158 
60 4 4 8009,031 252,465 4804,607 156,459 9678,281 245,144 4105,435 242,311 1143,722 14,339 22,646 9,844 462,493 19,947 349,645 5,763 7009,033 408,593 5313,476 216,855 8001,535 180,676 7043,596 171,735 884,325 43,885 154,957 4,343 
60 5 5 8723,985 318,847 5009,407 151,717 9544,026 735,086 4246,785 232,054 1185,862 16,643 10,695 4,687 495,379 23,361 338,641 3,686 6590,353 192,317 5252,945 135,984 8644,070 221,050 8560,294 172,898 872,923 37,721 132,826 3,861 
60 6 6 8755,212 334,474 5044,338 135,399 10654,502 753,988 4497,072 186,443 1199,099 15,610 8,753 3,259 524,895 29,153 338,128 4,853 6676,536 222,497 5376,117 151,334 9225,081 378,575 10115,287 316,710 903,856 29,735 118,914 2,966 
60 7 7 9739,851 315,702 5428,028 174,897 13368,470 407,805 4917,957 149,293 1175,362 27,771 26,833 13,476 545,364 34,016 335,441 5,590 7645,110 362,481 5859,514 230,506 9438,764 431,135 11156,200 401,924 858,264 15,826 107,039 1,990 
60 8 8 10721,212 576,253 6696,265 859,882 12556,330 1364,609 5059,409 224,177 1185,895 18,242 12,070 3,547 601,338 36,879 326,529 6,694 8638,875 307,858 6299,489 191,108 9355,244 742,706 12062,206 513,229 854,209 37,639 93,874 2,185 
60 9 9 11091,897 451,955 6924,488 913,866 15217,082 701,873 5812,549 259,310 1189,595 12,034 10,071 3,959 625,108 31,381 317,468 7,114 9558,330 309,628 6830,658 281,726 8506,341 965,883 12812,454 628,268 882,506 35,300 87,511 2,020 
60 10 10 11836,059 531,155 7408,192 890,711 15250,337 1292,058 6083,831 332,058 1208,506 15,184 11,313 2,668 618,796 40,891 316,730 9,445 10626,390 356,772 7409,055 330,290 9408,691 705,066 14492,857 573,050 929,021 34,053 81,862 1,774 
60 11 11 11759,375 524,936 6604,086 275,336 16097,787 1437,936 6304,938 326,772 1202,672 10,317 14,815 4,798 670,752 43,540 319,207 8,076 11105,541 269,809 7424,421 293,797 8991,832 661,823 14559,160 749,068 1085,000 75,447 77,216 1,626 
60 12 12 12648,652 818,799 7149,599 302,978 16334,707 1271,731 6454,111 347,484 1186,587 12,960 10,991 3,923 675,669 38,611 304,147 8,414 11819,475 350,504 7859,889 293,215 7295,043 1127,869 13244,159 1139,185 1405,475 106,558 73,981 1,826 
60 2 1 6788,361 290,225 2109,508 106,235 6926,218 187,401 1607,387 46,777 2022,749 180,939 10,436 3,829 333,768 21,104 267,882 11,754 7599,379 148,718 1968,337 59,512 7740,568 180,913 1843,093 52,127 2195,308 149,385 615,252 27,219 
60 3 1 10312,156 620,481 2240,374 109,104 10478,221 297,062 1631,912 44,557 1254,949 67,449 3,890 1,226 650,860 36,686 189,207 9,466 11635,243 271,489 1979,571 59,349 11411,589 292,721 1910,500 52,468 2795,821 180,739 425,332 14,413 
60 4 1 12153,451 747,279 2220,889 94,928 14197,985 384,693 1676,341 80,547 1196,449 20,250 2,353 0,660 818,869 47,596 139,673 6,001 15078,023 285,471 1950,051 48,571 14788,264 308,450 1884,527 44,053 3694,547 233,153 347,897 9,437 
60 5 1 15163,125 1274,393 2259,958 127,059 16895,209 444,478 1670,611 40,898 1224,737 19,638 1,495 0,276 831,111 28,258 121,994 6,714 18292,873 414,435 1904,213 58,538 18059,159 363,516 1854,522 47,997 4405,342 196,510 310,704 6,340 
60 6 1 18679,692 1166,502 2084,954 123,918 20324,906 594,894 1687,704 56,611 1191,654 15,530 1,517 0,410 926,549 16,958 97,375 4,698 21579,888 453,126 1901,374 50,045 21129,866 487,619 1831,641 47,461 4431,968 266,393 250,178 8,648 
60 7 1 20427,935 1351,418 2247,370 109,778 23830,999 678,483 1696,233 51,354 1178,847 12,675 1,236 0,230 1000,561 19,712 83,718 4,650 24915,537 447,275 1916,580 53,621 24866,804 487,743 1835,775 45,272 5525,886 262,418 238,313 5,585 
60 8 1 22277,744 1632,252 2290,187 101,720 26731,217 755,700 1641,216 38,750 1215,840 13,990 0,708 0,131 1076,376 37,049 68,326 3,208 27797,162 560,536 1890,201 47,537 27732,304 657,145 1795,634 52,361 5757,687 442,000 196,346 8,924 
60 9 1 25197,973 1791,958 2267,824 91,849 29529,994 806,917 1649,544 53,255 1208,742 10,207 0,780 0,189 1025,058 45,191 58,559 3,250 30537,280 593,405 1843,825 43,086 30506,731 641,021 1776,710 47,611 5975,160 215,531 183,336 4,980 
60 10 1 28106,627 2163,661 2330,963 70,916 32368,360 830,826 1607,880 38,718 1196,183 14,039 0,728 0,204 1036,856 41,296 51,703 2,301 32943,224 794,570 1831,613 50,515 33711,479 787,355 1787,545 47,077 6558,325 244,402 174,564 4,635 
60 11 1 30040,089 1940,705 2326,986 72,042 36044,493 895,568 1640,145 47,808 1209,673 12,736 0,820 0,211 1145,010 23,912 45,148 2,383 36463,804 752,779 1829,334 55,909 36590,913 887,863 1765,721 47,687 6788,681 262,336 160,369 5,395 
